doi,total_authors,matched_authors,needs_review_authors
10.1016/s0140-6736(24)01296-0,1,0,1
10.1038/s41392-024-01745-z,7,7,7
10.1038/s41467-022-29093-y,4,1,3
10.1038/s41467-023-40854-1,4,1,4
10.1038/s41467-023-42720-6,3,0,3
10.1038/s41551-022-00907-0,9,8,1
10.1038/s41551-023-01045-x,6,3,3
10.1038/s41586-022-05592-2,6,0,6
10.1038/s41746-024-01029-4,6,5,1
10.1139/apnm-2023-0550,1,1,0
10.1186/s12951-023-01871-w,2,2,0
10.2196/48009,6,5,6
10.2196/48568,3,2,3
10.26599/nre.2022.9120028,11,2,9
10.3934/publichealth.2026001,3,0,0
10.3934/publichealth.2026006,3,0,3
10.3934/publichealth.2026007,9,0,0
