id,employee_id,name_zh,department,departments,name_en_list
1,gen_d0df3d96,Aiping Deng,"Department of Neurology and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
2,gen_e41a106e,Anqi Xiao,"Department of Neurosurgery, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
3,gen_5a3f986b,Baihai Su,"Department of Nephrology, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
4,gen_a190dc9a,Biao Dong,"Department of Geriatrics and State Key Laboratory of Biotherapy, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
5,gen_8e72907f,Bowen Huang,"Department of Neurosurgery, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
6,gen_16476bca,Changyu Wang,"Department of Medical Informatics, West China Medical School, Sichuan University, Chengdu, China",,"""[]"""
7,gen_9b7a2c64,Chao You,"Department of Neurosurgery, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
8,gen_a20fe350,Cheng Gu,"College of Polymer Science and Engineering, State Key Laboratory of Polymer Materials Engineering, Sichuan University, Chengdu, People's Republic of China",,"""[]"""
9,gen_611e8e21,Chengdi Wang,"Department of Pulmonary and Critical Care Medicine, Med-X Center for Manufacturing, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
10,gen_d42d3dfa,Chengyong Wu,"College of Biomass Science and Engineering, Department of Respiratory and Critical Care Medicine, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
11,gen_6e001592,Chuanxing Xie,"Department of Neurosurgery, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
12,gen_01746ad3,En Luo,"State Key Laboratory of Oral Diseases, National Clinical Research Center for Oral Diseases, Department of Oral and Maxillofacial Surgery, West China Hospital of Stomatology, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
13,gen_58eed974,Fei Li,"Laboratory of Metabolomics and Drug-Induced Liver Injury, Department of Gastroenterology & Hepatology, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
14,gen_2d896447,Fei Tang,"Department of Neurology and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
