doi,rank,raw_name,raw_affiliation,matched_faculty_id,confidence_score,match_signals
10.1038/s41467-023-40854-1,3,Zhenpeng Xu,"Department of Material Science and Engineering, University of California, Berkeley, CA, USA; Department of Civil and Environmental Engineering, University of California, Los Angeles, CA, USA",,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""SKIPPED"", ""source"": ""meta-guided"", ""evidence_score"": 0.5, ""evidence_sources"": [""crossref"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 22, ""employee_id"": ""gen_1d3f1947"", ""name_zh"": ""Heng Xu"", ""department"": ""Department of Laboratory Medicine, Precision Medicine Center, State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, China"", ""name_score"": 0.7777777777777778, ""aff_score"": 0.30237154150197626, ""aff_used"": ""Department of Ma"
10.1038/s41467-023-40854-1,4,Chenang Liu,"Industrial Engineering and Management, Oklahoma State University, Stillwater, OK, USA",,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""SKIPPED"", ""source"": ""meta-guided"", ""evidence_score"": 0.5, ""evidence_sources"": [""crossref"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 19, ""employee_id"": ""gen_81794865"", ""name_zh"": ""Han Liu"", ""department"": ""Department of Computer Science and Technology, Sichuan University, Chengdu, China"", ""name_score"": 0.7777777777777778, ""aff_score"": 0.327710843373494, ""aff_used"": ""Industrial Engineering and Management, Oklahoma State University, Stillwater, OK, USA"", ""reason"": """
10.1038/s41467-023-40854-1,5,Han Liu,"Department of Computer Science and Technology, Sichuan University, Chengdu, China",19.0,97,"{""relevance"": ""matched_faculty"", ""decision"": ""COMPLETED"", ""source"": ""meta-guided"", ""evidence_score"": 0.5, ""evidence_sources"": [""crossref"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {""name_score"": 1.0, ""aff_score"": 1.0, ""aff_used"": ""Department of Computer Science and Technology, Sichuan University, Chengdu, China"", ""posterior"": 0.9781187290638694, ""fusion"": ""sigmoid_logit"", ""fusion_logit"": 3.8}, ""name_only_candidate"": null}"
10.1038/s41467-023-40854-1,11,Xiaoyu Zheng,"Department of Mechanical Engineering, Virginia Tech, Blacksburg, VA, USA; Department of Material Science and Engineering, University of California, Berkeley, CA, USA; Department of Civil and Environmental Engineering, University of California, Los Angeles, CA, USA",,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""SKIPPED"", ""source"": ""meta-guided"", ""evidence_score"": 0.6, ""evidence_sources"": [""crossref"", ""structured_aff"", ""correspondence_marker""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 144, ""employee_id"": ""gen_718441cf"", ""name_zh"": ""Zhaoyue Zheng"", ""department"": ""Department of Geriatrics and State Key Laboratory of Biotherapy, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, Sichuan, China"", ""name_score"": 0.8, ""aff_score"": 0.32644927536231"
10.1038/s41551-023-01045-x,1,Hong-Yu Zhou,"Department of Computer Science, The University of Hong Kong, Pokfulam, China",,0,"{""relevance"": ""school_affiliation_hit"", ""decision"": ""NEEDS_REVIEW"", ""source"": ""meta-guided"", ""evidence_score"": 0.5, ""evidence_sources"": [""crossref"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": null}"
10.1038/s41551-023-01045-x,2,Yizhou Yu,"Department of Computer Science, The University of Hong Kong, Pokfulam, China",,0,"{""relevance"": ""school_affiliation_hit"", ""decision"": ""NEEDS_REVIEW"", ""source"": ""meta-guided"", ""evidence_score"": 0.6, ""evidence_sources"": [""crossref"", ""structured_aff"", ""correspondence_marker""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": null}"
10.1038/s41551-023-01045-x,3,Chengdi Wang,"Department of Pulmonary and Critical Care Medicine, Med-X Center for Manufacturing, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China",9.0,97,"{""relevance"": ""matched_faculty"", ""decision"": ""COMPLETED"", ""source"": ""meta-guided"", ""evidence_score"": 0.6, ""evidence_sources"": [""crossref"", ""structured_aff"", ""correspondence_marker""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {""name_score"": 1.0, ""aff_score"": 1.0, ""aff_used"": ""Department of Pulmonary and Critical Care Medicine, Med-X Center for Manufacturing, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China"", ""posterior"": 0.9781187290638694, ""fusion"": ""sigmoid_logit"", ""fusion_logit"": 3.8}, ""name_only_can"
10.1038/s41551-023-01045-x,4,Shu Zhang,"AI Lab, Deepwise Healthcare, Beijing, China",,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""SKIPPED"", ""source"": ""meta-guided"", ""evidence_score"": 0.5, ""evidence_sources"": [""crossref"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 80, ""employee_id"": ""gen_f0f1f714"", ""name_zh"": ""Shuting Zhang"", ""department"": ""Department of Neurology and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, China"", ""name_score"": 0.8181818181818182, ""aff_score"": 0.25847953216374264, ""aff_used"": ""AI Lab, Deepwise Healthcare, Beijing, China"""
10.1038/s41551-023-01045-x,5,Yuanxu Gao,"Guangzhou Laboratory, Guangzhou, China",,0,"{""relevance"": ""school_affiliation_hit"", ""decision"": ""NEEDS_REVIEW"", ""source"": ""meta-guided"", ""evidence_score"": 0.5, ""evidence_sources"": [""crossref"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": null}"
10.1038/s41551-023-01045-x,6,Jia Pan,"Department of Computer Science, The University of Hong Kong, Pokfulam, China",,0,"{""relevance"": ""school_affiliation_hit"", ""decision"": ""NEEDS_REVIEW"", ""source"": ""meta-guided"", ""evidence_score"": 0.5, ""evidence_sources"": [""crossref"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": null}"
10.1038/s41551-023-01045-x,7,Jun Shao,"Department of Pulmonary and Critical Care Medicine, Med-X Center for Manufacturing, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China",37.0,97,"{""relevance"": ""matched_faculty"", ""decision"": ""COMPLETED"", ""source"": ""meta-guided"", ""evidence_score"": 0.5, ""evidence_sources"": [""crossref"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {""name_score"": 1.0, ""aff_score"": 1.0, ""aff_used"": ""Department of Pulmonary and Critical Care Medicine, Med-X Center for Manufacturing, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China"", ""posterior"": 0.9781187290638694, ""fusion"": ""sigmoid_logit"", ""fusion_logit"": 3.8}, ""name_only_candidate"": null}"
10.1038/s41551-023-01045-x,8,Guangming Lu,"Department of Medical Imaging, Jinling Hospital, Nanjing University School of Medicine, Nanjing, China",,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""SKIPPED"", ""source"": ""meta-guided"", ""evidence_score"": 0.5, ""evidence_sources"": [""crossref"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 73, ""employee_id"": ""gen_9607870d"", ""name_zh"": ""Quanying Liu"", ""department"": ""National Engineering Research Center for Biomaterials, Sichuan University, Chengdu, Sichuan, China"", ""name_score"": 0.75, ""aff_score"": 0.39949999999999997, ""aff_used"": ""Department of Medical Imaging, Jinling Hospital, Nanjing University School of Medicine, N"
10.1038/s41551-023-01045-x,9,Kang Zhang,"Zhuhai International Eye Center and Provincial Key Laboratory of Tumor Interventional Diagnosis and Treatment, Zhuhai People's Hospital and the First Affiliated Hospital of Faculty of Medicine, Macau University of Science and Technology and University Hospital, Guangdong, China; Department of Big Data and Biomedical Artificial Intelligence, National Biomedical Imaging Center, College of Future Technology, Peking University, Beijing, China; Clinical Translational Research Center, West China Hospital, Sichuan University, Chengdu, China",114.0,79,"{""relevance"": ""matched_faculty"", ""decision"": ""COMPLETED"", ""source"": ""meta-guided"", ""evidence_score"": 0.6, ""evidence_sources"": [""crossref"", ""structured_aff"", ""correspondence_marker""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {""name_score"": 0.8421052631578947, ""aff_score"": 0.6885, ""aff_used"": ""Clinical Translational Research Center, West China Hospital, Sichuan University, Chengdu, China"", ""posterior"": 0.7958999476768376, ""fusion"": ""sigmoid_logit"", ""fusion_logit"": 1.3608631578947368}, ""name_only_candidate"": null}"
