doi,rank,raw_name,raw_affiliation,matched_faculty_id,confidence_score,match_signals
10.1038/s41551-023-01045-x,1,Hong-Yu Zhou,"Department of Computer Science, The University of Hong Kong, Pokfulam, China",,0,"{""relevance"": ""school_affiliation_hit"", ""decision"": ""NEEDS_REVIEW"", ""source"": ""meta-guided"", ""evidence_score"": 0.5, ""evidence_sources"": [""crossref"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": null}"
10.1038/s41551-023-01045-x,2,Yizhou Yu,"Department of Computer Science, The University of Hong Kong, Pokfulam, China",,0,"{""relevance"": ""school_affiliation_hit"", ""decision"": ""NEEDS_REVIEW"", ""source"": ""meta-guided"", ""evidence_score"": 0.6, ""evidence_sources"": [""crossref"", ""structured_aff"", ""correspondence_marker""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": null}"
10.1038/s41551-023-01045-x,3,Chengdi Wang,"Department of Pulmonary and Critical Care Medicine, Med-X Center for Manufacturing, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China",9.0,97,"{""relevance"": ""matched_faculty"", ""decision"": ""COMPLETED"", ""source"": ""meta-guided"", ""evidence_score"": 0.6, ""evidence_sources"": [""crossref"", ""structured_aff"", ""correspondence_marker""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {""name_score"": 1.0, ""aff_score"": 1.0, ""aff_used"": ""Department of Pulmonary and Critical Care Medicine, Med-X Center for Manufacturing, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China"", ""posterior"": 0.9781187290638694, ""fusion"": ""sigmoid_logit"", ""fusion_logit"": 3.8}, ""name_only_can"
10.1038/s41551-023-01045-x,4,Shu Zhang,"AI Lab, Deepwise Healthcare, Beijing, China",,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""SKIPPED"", ""source"": ""meta-guided"", ""evidence_score"": 0.5, ""evidence_sources"": [""crossref"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 80, ""employee_id"": ""gen_f0f1f714"", ""name_zh"": ""Shuting Zhang"", ""department"": ""Department of Neurology and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, China"", ""name_score"": 0.8181818181818182, ""aff_score"": 0.25847953216374264, ""aff_used"": ""AI Lab, Deepwise Healthcare, Beijing, China"""
10.1038/s41551-023-01045-x,5,Yuanxu Gao,"Guangzhou Laboratory, Guangzhou, China",,0,"{""relevance"": ""school_affiliation_hit"", ""decision"": ""NEEDS_REVIEW"", ""source"": ""meta-guided"", ""evidence_score"": 0.5, ""evidence_sources"": [""crossref"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": null}"
10.1038/s41551-023-01045-x,6,Jia Pan,"Department of Computer Science, The University of Hong Kong, Pokfulam, China",,0,"{""relevance"": ""school_affiliation_hit"", ""decision"": ""NEEDS_REVIEW"", ""source"": ""meta-guided"", ""evidence_score"": 0.5, ""evidence_sources"": [""crossref"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": null}"
10.1038/s41551-023-01045-x,7,Jun Shao,"Department of Pulmonary and Critical Care Medicine, Med-X Center for Manufacturing, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China",37.0,97,"{""relevance"": ""matched_faculty"", ""decision"": ""COMPLETED"", ""source"": ""meta-guided"", ""evidence_score"": 0.5, ""evidence_sources"": [""crossref"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {""name_score"": 1.0, ""aff_score"": 1.0, ""aff_used"": ""Department of Pulmonary and Critical Care Medicine, Med-X Center for Manufacturing, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China"", ""posterior"": 0.9781187290638694, ""fusion"": ""sigmoid_logit"", ""fusion_logit"": 3.8}, ""name_only_candidate"": null}"
10.1038/s41551-023-01045-x,8,Guangming Lu,"Department of Medical Imaging, Jinling Hospital, Nanjing University School of Medicine, Nanjing, China",,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""SKIPPED"", ""source"": ""meta-guided"", ""evidence_score"": 0.5, ""evidence_sources"": [""crossref"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 73, ""employee_id"": ""gen_9607870d"", ""name_zh"": ""Quanying Liu"", ""department"": ""National Engineering Research Center for Biomaterials, Sichuan University, Chengdu, Sichuan, China"", ""name_score"": 0.75, ""aff_score"": 0.39949999999999997, ""aff_used"": ""Department of Medical Imaging, Jinling Hospital, Nanjing University School of Medicine, N"
10.1038/s41551-023-01045-x,9,Kang Zhang,"Zhuhai International Eye Center and Provincial Key Laboratory of Tumor Interventional Diagnosis and Treatment, Zhuhai People's Hospital and the First Affiliated Hospital of Faculty of Medicine, Macau University of Science and Technology and University Hospital, Guangdong, China; Department of Big Data and Biomedical Artificial Intelligence, National Biomedical Imaging Center, College of Future Technology, Peking University, Beijing, China; Clinical Translational Research Center, West China Hospital, Sichuan University, Chengdu, China",114.0,79,"{""relevance"": ""matched_faculty"", ""decision"": ""COMPLETED"", ""source"": ""meta-guided"", ""evidence_score"": 0.6, ""evidence_sources"": [""crossref"", ""structured_aff"", ""correspondence_marker""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {""name_score"": 0.8421052631578947, ""aff_score"": 0.6885, ""aff_used"": ""Clinical Translational Research Center, West China Hospital, Sichuan University, Chengdu, China"", ""posterior"": 0.7958999476768376, ""fusion"": ""sigmoid_logit"", ""fusion_logit"": 1.3608631578947368}, ""name_only_candidate"": null}"
10.1038/s41551-023-01045-x,10,Weimin Li,"Department of Pulmonary and Critical Care Medicine, Med-X Center for Manufacturing, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China",91.0,97,"{""relevance"": ""matched_faculty"", ""decision"": ""COMPLETED"", ""source"": ""meta-guided"", ""evidence_score"": 0.6, ""evidence_sources"": [""crossref"", ""structured_aff"", ""correspondence_marker""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {""name_score"": 1.0, ""aff_score"": 1.0, ""aff_used"": ""Department of Pulmonary and Critical Care Medicine, Med-X Center for Manufacturing, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China"", ""posterior"": 0.9781187290638694, ""fusion"": ""sigmoid_logit"", ""fusion_logit"": 3.8}, ""name_only_can"
10.1038/s41392-022-01130-8,1,Chengdi Wang,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 9, ""employee_id"": ""gen_611e8e21"", ""name_zh"": ""Chengdi Wang"", ""department"": ""Department of Pulmonary and Critical Care Medicine, Med-X Center for Manufacturing, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China"", ""name_score"": 1.0, ""aff_score"": 0.0, ""aff_used"": """", ""reason"": ""affiliatio"
10.1038/s41392-022-01130-8,3,Tingting Song,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 88, ""employee_id"": ""gen_5c9cca6f"", ""name_zh"": ""Tingting Song"", ""department"": ""Department of Respiratory and Critical Care Medicine, Med-X Center for Manufacturing, Center of Precision Medicine, Precision Medicine Key Laboratory of Sichuan Province, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, West China Medical Sch"
10.1038/s41392-022-01130-8,4,Zhoufeng Wang,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 149, ""employee_id"": ""gen_2bc25ff2"", ""name_zh"": ""Zhoufeng Wang"", ""department"": ""Department of Respiratory and Critical Care Medicine, Med-X Center for Manufacturing, Center of Precision Medicine, Precision Medicine Key Laboratory of Sichuan Province, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, West China Medical Sc"
10.1038/s41392-022-01130-8,5,Lujia Song,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 48, ""employee_id"": ""gen_199a64c2"", ""name_zh"": ""Lujia Song"", ""department"": ""Department of Respiratory and Critical Care Medicine, Med-X Center for Manufacturing, Center of Precision Medicine, Precision Medicine Key Laboratory of Sichuan Province, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, West China Medical School"
10.1038/s41392-022-01130-8,6,Ying Yang,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 123, ""employee_id"": ""gen_64cc0aad"", ""name_zh"": ""Ying Yang"", ""department"": ""Department of Respiratory and Critical Care Medicine, Med-X Center for Manufacturing, Center of Precision Medicine, Precision Medicine Key Laboratory of Sichuan Province, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, West China Medical School"
